2020-2021-winter-016,2020-2021,winter,Hardware Systems, ,cs110,Principles of Computer Systems,http://web.stanford.edu/class/cs110/,Gregg/Troccoli
2020-2021-winter-017,2020-2021,winter,Hardware Systems, ,cs110A,Problem Solving Lab for CS110, ,Gregg/Troccoli
2020-2021-winter-018,2020-2021,winter,Artificial Intelligence, ,cs129,Machine Learning (Applied),https://web.stanford.edu/class/cs129/,Ng/Bensouda Mo
2020-2021-winter-019,2020-2021,winter,Software Systems, ,cs140,Operating Systems and Systems Programming,http://web.stanford.edu/class/cs140/,Mazieres
2020-2021-winter-020,2020-2021,winter,Software Systems, ,cs142,Web Applications,http://web.stanford.edu/class/cs142/,Rosenblum
2020-2021-winter-021,2020-2021,winter,Software Systems, ,cs147,Introduction to Human-Computer Interaction Design,https://hci.stanford.edu/courses/cs147/2022/wi/,Landay
2020-2021-winter-022,2020-2021,winter,Mathematical Foundations of Computing, ,cs152,Trust and Safety Engineering,https://canvas-gateway.stanford.edu/goCanvas.html,Stamos
2020-2021-winter-023,2020-2021,winter,Analysis of Algorithms, ,cs161,Design and Analysis of Algorithms,https://stanford-cs161.github.io/summer2022/,Charikar/Anari
2020-2021-winter-024,2020-2021,winter,Analysis of Algorithms, ,cs161A,Problem-Solving Lab for CS161, ,Charikar/Anari
2020-2021-winter-025,2020-2021,winter,Analysis of Algorithms, ,cs163,The Practice of Theory Research, ,Reingold
2020-2021-winter-026,2020-2021,winter,Technology and Society, ,cs182,"Ethics, Public Policy, and Technological Change",https://web.stanford.edu/class/cs182/,Sahami/Reich
2020-2021-winter-027,2020-2021,winter,Technology and Society, ,cs182W,"Ethics, Public Policy & Technological Change (WIM)",https://web.stanford.edu/class/cs182w/,Sahami/Reich
2020-2021-winter-028,2020-2021,winter,Technology and Society, ,cs187,Design for Advocacy, ,Wodtke
2020-2021-winter-029,2020-2021,winter,Independent Study and Practicum, ,cs190,Software Design Studio,http://web.stanford.edu/~ouster/cs190-winter22/,Ousterhout
2020-2021-winter-030,2020-2021,winter,Independent Study and Practicum, ,cs191,Senior Project,http://cs191.stanford.edu/,(none listed)
2020-2021-winter-031,2020-2021,winter,Independent Study and Practicum, ,cs191W,Writing Intensive Senior Project,http://cs191w.stanford.edu/,(none listed)
2020-2021-winter-032,2020-2021,winter,Independent Study and Practicum, ,cs192,Programming Service Project,http://cs192.stanford.edu/,(none listed)
2020-2021-winter-033,2020-2021,winter,Independent Study and Practicum, ,cs193Q,Introduction to Python Programming,https://web.stanford.edu/class/cs193q/,Parlante
2020-2021-winter-034,2020-2021,winter,Independent Study and Practicum, ,cs194,Software Project,http://web.stanford.edu/class/cs194/,Borenstein
2020-2021-winter-035,2020-2021,winter,Independent Study and Practicum, ,cs194W,Software Project (WIM),http://web.stanford.edu/class/cs194W/,Borenstein
2020-2021-winter-036,2020-2021,winter,Independent Study and Practicum, ,cs195,Supervised Undergraduate Research, ,(none listed)
2020-2021-winter-037,2020-2021,winter,Independent Study and Practicum, ,cs198,Teaching Computer Science,https://cs198.stanford.edu/,Sahami/McCoy
2020-2021-winter-038,2020-2021,winter,Independent Study and Practicum, ,cs198B,Additional Topics in Teaching Computer Science, ,Sahami/McCoy
2020-2021-winter-039,2020-2021,winter,Independent Study and Practicum, ,cs199,Independent Work,http://cs199.stanford.edu/,(none listed)
